vx,vy,omega,theta,x,y,e_x,,0.5-x,P1 LHS,P1 RHS,,,"""-0.5-x","""-0.79<th","""th<-0.74",P2 LHS,"""0.184<ex","""ex<0.19",P2 RHS,,"""om>0","""vy<-0.3",P3 LHS,P3 RHS,,P1-2 LHS,P1-2 RHS,,"""-2<y<2","""-0.7869<th","""th<-0.747",P2 RHS,,isabove ystar=2?,,,,
3.322891796,-0.058453526,0.015876491,-0.810950779,18.67987969,-19.01695749,0.188047141,,-18.17987969,FALSE,TRUE,,,,FALSE,TRUE,,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,FALSE,TRUE,TRUE,,FALSE,,,,
3.310646231,-0.059351777,0.015156562,-0.803218829,19.80558029,-20.23509887,0.188181577,,-19.30558029,FALSE,TRUE,,,,FALSE,TRUE,,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,FALSE,TRUE,TRUE,,FALSE,,,,
3.298636682,-0.060245336,0.01433821,-0.79587392,20.93588481,-21.44067613,0.188324423,,-20.43588481,FALSE,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,FALSE,TRUE,TRUE,,FALSE,,,,
3.286984656,-0.061125602,0.013436162,-0.788961046,22.07028669,-22.63425761,0.188472877,,-21.57028669,FALSE,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,FALSE,TRUE,TRUE,,FALSE,,,,
3.275795097,-0.061984464,0.012466156,-0.782517592,23.20829066,-23.81649933,0.188624348,,-22.70829066,FALSE,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,
3.265158983,-0.062814381,0.011444491,-0.776572955,24.34941823,-24.98812974,0.188776477,,-23.84941823,FALSE,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,
3.255154172,-0.063608476,0.010387634,-0.771148371,25.49321294,-26.14993484,0.188927155,,-24.99321294,FALSE,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,
3.24584541,-0.064360634,0.009311856,-0.766256925,26.63924502,-27.30274362,0.189074535,,-26.13924502,FALSE,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,
3.237284063,-0.065065587,0.008232882,-0.76190374,27.78711495,-28.44741353,0.189217033,,-27.28711495,FALSE,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,
3.229507868,-0.065718989,0.007165571,-0.75808634,28.936456,-29.5848166,0.189353328,,-28.436456,FALSE,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,
3.22254086,-0.066317473,0.006123613,-0.754795154,30.08693567,-30.71582602,0.189482355,,-29.58693567,FALSE,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,
3.216393585,-0.06685868,0.005119287,-0.752014164,31.23825618,-31.84130372,0.189603294,,-30.73825618,FALSE,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,
3.211063624,-0.067341261,0.004163253,-0.749721667,32.39015406,-32.96208907,0.189715551,,-31.89015406,FALSE,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,
3.206536419,-0.067764859,0.00326441,-0.747891114,33.54239905,-34.07898883,0.189818744,,-33.04239905,FALSE,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,
3.20278639,-0.06813005,0.002429825,-0.746492009,34.69479242,-35.19276854,0.189912681,,-34.19479242,FALSE,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,TRUE,FALSE,TRUE,,FALSE,,,,
3.199778281,-0.068438275,0.00166471,-0.745490828,35.84716496,-36.30414553,0.189997336,,-35.34716496,FALSE,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,TRUE,FALSE,TRUE,,FALSE,,,,
3.197468676,-0.06869174,0.000972477,-0.744851934,36.9993746,-37.41378338,0.190072831,,-36.4993746,FALSE,TRUE,,,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,
3.195807627,-0.068893305,0.000354813,-0.744538448,38.15130405,-38.52228803,0.19013941,,-37.65130405,FALSE,TRUE,,,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,
3.194740315,-0.069046375,-0.000188188,-0.744513079,39.30285825,-39.63020534,0.190197416,,-38.80285825,FALSE,TRUE,,,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,
